task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
330	08/05cac3	2060706	call_sv_del (58)	COMPLETED	0	2025-12-25 13:24:56.082	7s	2s	98.4%	33.3 MB	45.3 MB	4.9 MB	14.4 KB
198	88/a1d1ea	2060798	get_depth (42)	COMPLETED	0	2025-12-25 13:24:56.094	7s	0ms	93.1%	1.5 MB	7.1 MB	9.1 MB	1.6 KB
213	73/20d174	2060411	call_sv_dup (47)	COMPLETED	0	2025-12-25 13:24:55.982	7.9s	2s	100.4%	32.4 MB	44.4 MB	4.7 MB	15.7 KB
415	96/4c29f5	2066940	phase_snvs (NA18966.wgs)	FAILED	127	2025-12-25 13:24:57.566	6.3s	6.2s	-	-	-	-	-
331	05/5882b1	2060744	call_sv_del (59)	COMPLETED	0	2025-12-25 13:24:56.088	7.8s	2s	97.9%	32.7 MB	45 MB	4.5 MB	14.4 KB
182	0a/2f9458	2067858	get_depth (39)	COMPLETED	0	2025-12-25 13:24:58.037	5.9s	0ms	96.8%	1.5 MB	7.1 MB	8.8 MB	1.6 KB
293	09/7fbefa	2060846	call_sv_dup (65)	COMPLETED	0	2025-12-25 13:24:56.099	8.8s	2s	98.2%	33.2 MB	45.1 MB	4.8 MB	15.7 KB
224	03/16384e	2068632	call_snvs1 (38)	COMPLETED	0	2025-12-25 13:24:58.734	6.2s	1s	436.1%	1 MB	7.9 MB	3.5 MB	275.8 KB
174	6e/fbf8ad	2069612	call_snvs1 (27)	COMPLETED	0	2025-12-25 13:25:01.213	4.7s	0ms	405.9%	1 MB	7.9 MB	3.8 MB	295.6 KB
421	1d/da8619	2070296	phase_snvs (NA19003.wgs)	FAILED	127	2025-12-25 13:25:02.654	3.3s	3s	-	-	-	-	-
422	69/2f77a3	2071120	save_vcfs (NA18861.wgs)	COMPLETED	0	2025-12-25 13:25:02.967	3s	0ms	175.1%	0	0	48 KB	10 KB
425	78/c50268	2071175	analyse_2 (NA18617.wgs)	COMPLETED	0	2025-12-25 13:25:02.992	3s	0ms	48.6%	1.5 MB	7.4 MB	56.4 KB	1.5 KB
