Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
60	:	1766383900.245	     0.485	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18868.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18868.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18868.10x.short.stdout 2>&1
61	:	1766383900.583	     0.444	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18942.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18942.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18942.10x.short.stdout 2>&1
62	:	1766383900.735	     0.423	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18952.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18952.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18952.10x.short.stdout 2>&1
64	:	1766383901.163	     0.355	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18966.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18966.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18966.10x.short.stdout 2>&1
63	:	1766383901.033	     0.539	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18959.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18959.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18959.10x.short.stdout 2>&1
65	:	1766383901.525	     0.441	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18973.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18973.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18973.10x.short.stdout 2>&1
66	:	1766383901.578	     0.491	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18980.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18980.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18980.10x.short.stdout 2>&1
67	:	1766383901.974	     0.492	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA18992.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA18992.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA18992.10x.short.stdout 2>&1
68	:	1766383902.076	     0.457	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA19003.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA19003.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA19003.10x.short.stdout 2>&1
69	:	1766383902.472	     0.502	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA19007.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA19007.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA19007.10x.short.stdout 2>&1
70	:	1766383902.540	     0.450	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA19095.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA19095.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA19095.10x.short.stdout 2>&1
72	:	1766383902.995	     0.341	0	0	0	0	/home/pouria/opt/envs/aldy/bin/python -m aldy genotype /project/shared/aldy-data/10x/NA19122.10x.short.bam -g all -p 10x -vE --solver gurobi    -l /home/pouria/opt/src/aldy/runs/results_10x/NA19122.10x.short.txt    > /home/pouria/opt/src/aldy/runs/logs_10x/NA19122.10x.short.stdout 2>&1
